from,to,path
0,1,68;145;58
0,2,68;69;73;71;44;86
0,2,68;145;139;71;44;86
0,2,68;69;139;71;44;86
0,3,30;120;10;116;56;51
0,3,30;120;88;116;56;51
0,3,30;120;148;116;56;51
0,6,68
0,7,30;120;148;127
0,7,30;120;148;65
0,8,68
0,9,30;66
0,9,111;66
0,9,30;22
0,10,30;120
0,11,30;120;148;116;56
0,11,30;120;88;116;56
0,11,30;120;10;116;56
0,13,68;69;139;71;44;86;107
0,13,68;145;139;71;44;86;107
0,13,68;69;73;71;44;86;107
0,14,30
0,16,68;145;20;125
0,19,30;81;142;92
0,19,30;22;142;92
0,20,68;145
0,21,68;69;139;71;44;86;107
0,21,68;145;139;71;44;86;107
0,21,68;69;73;71;44;86;107
0,22,30
0,24,30;156
0,24,30;81
0,25,68;69;139;71;44;134;27
0,25,68;145;139;71;44;134;27
0,25,68;69;73;71;44;134;27
0,25,68;69;139;71;44;86;28
0,25,68;145;139;71;44;86;28
0,25,68;69;73;71;44;86;28
0,25,68;69;139;71;44;134;28
0,25,68;145;139;71;44;134;28
0,25,68;69;73;71;44;134;28
0,27,68;69;73;71;44;134
0,27,68;145;139;71;44;134
0,27,68;69;139;71;44;134
0,28,68;69;73;71;44;134
0,28,68;145;139;71;44;134
0,28,68;69;139;71;44;134
0,28,68;69;73;71;44;86
0,28,68;145;139;71;44;86
0,28,68;69;139;71;44;86
0,32,68;69;139;71;44;134;131
0,32,68;145;139;71;44;134;131
0,32,68;69;73;71;44;134;131
0,32,68;69;139;71;44;134;27
0,32,68;145;139;71;44;134;27
0,32,68;69;73;71;44;134;27
0,33,68;69;139;71;44;134;27
0,33,68;145;139;71;44;134;27
0,33,68;69;73;71;44;134;27
0,36,68;145;20;125
0,36,30;120;148;65
0,38,30;120;148;127
0,38,30;120;10;116
0,38,30;120;88;116
0,38,30;120;148;116
0,39,30;120;148;116;56
0,39,30;120;88;116;56
0,39,30;120;10;116;56
0,40,68;69;139;71;44;134;49
0,40,68;145;139;71;44;134;49
0,40,68;69;73;71;44;134;49
0,40,68;69;139;71;44;134;47
0,40,68;145;139;71;44;134;47
0,40,68;69;73;71;44;134;47
0,42,30;22;142;92;67
0,42,30;81;142;92;67
0,44,68;69;73;71
0,44,68;145;139;71
0,44,68;69;139;71
0,47,68;69;73;71;44;134
0,47,68;145;139;71;44;134
0,47,68;69;139;71;44;134
0,48,30;120
0,49,68;69;73;71;44;134
0,49,68;145;139;71;44;134
0,49,68;69;139;71;44;134
0,50,30;120
0,51,30;120;148;116;56
0,51,30;120;88;116;56
0,51,30;120;10;116;56
0,55,68;145
0,55,68;8
0,55,68;6
0,55,30;120
0,56,30;120;10;116
0,56,30;120;88;116
0,56,30;120;148;116
0,58,68;145
0,65,30;120;148
0,66,111
0,66,30
0,67,30;81;142;92
0,67,30;22;142;92
0,69,68
0,71,68;69;139
0,71,68;145;139
0,71,68;69;73
0,72,30;120;148;65;128
0,72,30;120;148;65;7
0,72,30;120;148;127;7
0,73,68;69
0,74,153
0,74,146
0,74,30
0,75,68;69;139;71;44;134;131
0,75,68;145;139;71;44;134;131
0,75,68;69;73;71;44;134;131
0,75,68;69;139;71;44;134;49
0,75,68;145;139;71;44;134;49
0,75,68;69;73;71;44;134;49
0,76,30
0,77,30;76
0,78,30;120;88
0,79,68;69
0,80,153
0,80,140
0,80,30
0,81,30
0,82,30;120
0,83,68;69;139
0,83,68;145;139
0,86,68;69;139;71;44
0,86,68;145;139;71;44
0,86,68;69;73;71;44
0,87,30;120;148;65;7
0,87,30;120;148;127;7
0,88,30;120
0,89,30;120;148;116;56
0,89,30;120;88;116;56
0,89,30;120;10;116;56
0,90,68;145;58
0,90,68;145;20
0,92,30;22;142
0,92,30;81;142
0,93,68;69;139;71;44;86;107
0,93,68;145;139;71;44;86;107
0,93,68;69;73;71;44;86;107
0,93,68;69;139;71;44;86;2
0,93,68;145;139;71;44;86;2
0,93,68;69;73;71;44;86;2
0,94,68;69;139;71;44;86;2
0,94,68;145;139;71;44;86;2
0,94,68;69;73;71;44;86;2
0,96,30;120;148
0,97,30;120;10;116;56;51
0,97,30;120;88;116;56;51
0,97,30;120;148;116;56;51
0,98,30
0,99,68;145;58;1
0,99,68;145;20;125
0,100,68;69;139;71;44;86;2
0,100,68;145;139;71;44;86;2
0,100,68;69;73;71;44;86;2
0,100,30;120;148;116;56;51;132
0,100,30;120;88;116;56;51;132
0,100,30;120;10;116;56;51;132
0,103,30
0,104,30;120;148;116;56
0,104,30;120;88;116;56
0,104,30;120;10;116;56
0,107,68;69;73;71;44;86
0,107,68;145;139;71;44;86
0,107,68;69;139;71;44;86
0,108,68;69;139;71;44;86;107
0,108,68;145;139;71;44;86;107
0,108,68;69;73;71;44;86;107
0,108,68;69;139;71;44;86;28
0,108,68;145;139;71;44;86;28
0,108,68;69;73;71;44;86;28
0,108,68;69;139;71;44;134;28
0,108,68;145;139;71;44;134;28
0,108,68;69;73;71;44;134;28
0,109,30;120
0,110,68;69;123
0,113,30;22;142;92;67
0,113,30;81;142;92;67
0,116,30;120;148
0,116,30;120;88
0,116,30;120;10
0,117,30;120;148;116;56;51;132
0,117,30;120;88;116;56;51;132
0,117,30;120;10;116;56;51;132
0,118,68;69;123
0,119,68;145;20
0,119,30;120;148
0,120,30
0,122,30;120;148;127;7;72
0,122,30;120;148;65;7;72
0,122,30;120;148;65;128;72
0,123,68;69
0,125,68;145;20
0,127,30;120;148
0,128,30;120;148;65
0,129,68;69;139;71;44;134;49
0,129,68;145;139;71;44;134;49
0,129,68;69;73;71;44;134;49
0,131,68;69;73;71;44;134
0,131,68;145;139;71;44;134
0,131,68;69;139;71;44;134
0,132,30;120;10;116;56;51
0,132,30;120;88;116;56;51
0,132,30;120;148;116;56;51
0,133,30;66
0,133,111;66
0,134,68;69;139;71;44
0,134,68;145;139;71;44
0,134,68;69;73;71;44
0,137,30;120;109
0,137,30;120;50
0,138,30;120;148;65;7
0,138,30;120;148;127;7
0,138,30;120;148;116;56
0,138,30;120;88;116;56
0,138,30;120;10;116;56
0,139,68;145
0,139,68;69
0,142,30;81
0,142,30;22
0,144,68;69;73;71;44;86
0,144,68;145;139;71;44;86
0,144,68;69;139;71;44;86
0,145,68
0,147,68;69;139;71;44;134;131
0,147,68;145;139;71;44;134;131
0,147,68;69;73;71;44;134;131
0,148,30;120
0,149,68;69;123
0,154,30;120;148;127;7;72
0,154,30;120;148;65;7;72
0,154,30;120;148;65;128;72
0,156,30
0,157,68;69;123
0,160,30;120;148;116;56;51;132
0,160,30;120;88;116;56;51;132
0,160,30;120;10;116;56;51;132
1,2,58;145;139;71;44;86
1,3,99;36;128;72;51
1,6,58;145
1,7,99;36;128
1,7,99;125;65
1,7,90;125;65
1,7,99;36;65
1,8,58;145
1,9,58;145;68;111;66
1,10,58;145;8;120
1,10,58;145;55;120
1,10,90;125;119;148
1,10,99;125;119;148
1,10,58;20;119;148
1,10,90;20;119;148
1,10,99;36;65;148
1,10,90;125;65;148
1,10,99;125;65;148
1,11,99;36;128;72;51
1,11,99;36;128;7;56
1,11,99;125;65;7;56
1,11,90;125;65;7;56
1,11,99;36;65;7;56
1,13,58;145;139;71;44;86;107
1,14,58;145;68;111;66
1,14,58;145;55;120;30
1,14,58;145;8;120;30
1,14,58;145;68;0;30
1,14,58;145;68;111;30
1,16,99
1,20,90
1,20,58
1,21,58;145;139;71;44;86;107
1,22,58;145;68;111;66
1,22,58;145;55;120;30
1,22,58;145;8;120;30
1,22,58;145;68;0;30
1,22,58;145;68;111;30
1,24,58;145;68;111;30;156
1,24,58;145;68;0;30;156
1,24,58;145;8;120;30;156
1,24,58;145;55;120;30;156
1,24,58;145;68;111;30;81
1,24,58;145;68;0;30;81
1,24,58;145;8;120;30;81
1,24,58;145;55;120;30;81
1,25,58;145;139;71;44;134;27
1,25,58;145;139;71;44;86;28
1,25,58;145;139;71;44;134;28
1,27,58;145;139;71;44;134
1,28,58;145;139;71;44;134
1,28,58;145;139;71;44;86
1,30,58;145;68;111
1,30,58;145;68;0
1,30,58;145;8;120
1,30,58;145;55;120
1,32,58;145;139;71;44;134;131
1,32,58;145;139;71;44;134;27
1,33,58;145;139;71;44;134;27
1,36,99
1,38,99;36;65;127
