from,to,length
0,1,5
0,2,8
0,3,8
0,6,3
0,7,6
0,8,3
0,9,4
0,10,4
0,11,7
0,13,9
0,14,3
0,16,6
0,19,6
0,20,4
0,21,9
0,22,3
0,24,4
0,25,9
0,27,8
0,28,8
0,32,9
0,33,9
0,36,6
0,38,6
0,39,7
0,40,9
0,42,7
0,44,6
0,47,8
0,48,4
0,49,8
0,50,4
0,51,7
0,55,4
0,56,6
0,58,4
0,65,5
0,66,3
0,67,6
0,69,3
0,71,5
0,72,7
0,73,4
0,74,3
0,75,9
0,76,3
0,77,4
0,78,5
0,79,4
0,80,3
0,81,3
0,82,4
0,83,5
0,86,7
0,87,7
0,88,4
0,89,7
0,90,5
0,92,5
0,93,9
0,94,9
0,96,5
0,97,8
0,98,3
0,99,6
0,100,9
0,103,3
0,104,7
0,107,8
0,108,9
0,109,4
0,110,5
0,113,7
0,116,5
0,117,9
0,118,5
0,119,5
0,120,3
0,122,8
0,123,4
0,125,5
0,127,5
0,128,6
0,129,9
0,131,8
0,132,8
0,133,4
0,134,7
0,137,5
0,138,7
0,139,4
0,142,4
0,144,8
0,145,3
0,147,9
0,148,4
0,149,5
0,154,8
0,156,3
0,157,5
0,160,9
1,2,8
1,3,7
1,6,4
1,7,5
1,8,4
1,9,7
1,10,6
1,11,7
1,13,9
1,14,7
1,16,3
1,20,3
1,21,9
1,22,7
1,24,8
1,25,9
1,27,8
1,28,8
1,30,6
1,32,9
1,33,9
1,36,3
1,38,6
1,39,7
1,40,9
1,44,6
1,47,8
1,48,6
1,49,8
1,50,6
1,51,6
1,55,4
1,56,6
1,65,4
1,66,6
1,68,4
1,69,4
1,71,5
1,72,5
1,73,5
1,74,6
1,75,9
1,76,6
1,77,7
1,78,7
1,79,5
1,80,7
1,81,7
1,82,6
1,83,5
1,86,7
1,87,6
1,88,6
1,89,7
1,92,9
1,93,9
1,94,9
1,96,5
1,97,7
1,98,6
1,100,8
1,103,7
1,104,7
1,107,8
1,108,9
1,109,6
1,110,6
1,111,5
1,116,6
1,117,8
1,118,6
1,119,4
1,120,5
1,122,6
1,123,5
1,125,3
1,127,5
1,128,4
1,129,9
1,131,8
1,132,7
1,133,7
1,134,7
1,137,7
1,138,6
1,139,4
1,140,6
1,142,8
1,144,8
1,145,3
1,146,5
1,147,9
1,148,5
1,149,6
1,153,6
1,154,6
1,156,7
1,157,6
1,160,8
2,3,4
2,4,6
2,6,7
2,7,6
2,8,7
2,10,7
2,11,5
2,13,3
2,16,8
2,17,7
2,20,7
2,21,3
2,23,6
2,25,4
2,27,4
2,28,3
2,30,9
2,32,5
2,33,5
2,35,3
2,36,7
2,38,6
2,39,6
2,40,5
2,44,3
2,46,5
2,47,4
2,48,9
2,49,4
2,50,9
2,51,4
2,53,5
2,54,4
2,55,7
2,56,5
2,57,4
2,58,7
2,60,3
2,61,4
2,65,7
2,66,9
2,68,7
2,69,6
2,71,4
2,72,5
2,73,5
2,74,9
2,75,5
2,76,9
2,78,7
2,79,7
2,82,8
2,83,5
2,84,9
2,85,4
2,87,6
2,88,7
2,89,5
2,90,8
2,91,7
2,96,8
2,97,5
2,98,9
2,99,8
2,101,7
2,102,7
2,104,6
2,108,3
2,109,9
2,110,7
2,111,8
2,116,6
2,117,4
2,118,7
2,119,8
2,120,8
2,121,6
2,122,6
2,123,6
2,124,3
2,125,8
2,126,4
2,127,7
2,128,6
2,129,5
2,130,8
2,131,4
2,132,3
2,134,3
2,136,8
2,138,5
2,139,5
2,140,9
2,141,6
2,143,4
2,145,6
2,146,8
2,147,5
2,148,7
2,149,7
2,153,9
2,154,6
2,157,7
2,158,6
2,159,7
2,160,4
3,4,9
3,6,8
3,7,4
3,8,7
3,9,9
